id_state,state,id_municipality,municipality,id_parish,parish
710,Amazonas,7,Alto Orinoco,21,Alto Orinoco
710,Amazonas,7,Alto Orinoco,22,Huachamacare Acanaña
710,Amazonas,7,Alto Orinoco,23,Marawaka Toky Shamanaña
710,Amazonas,7,Alto Orinoco,24,Mavaka Mavaka
710,Amazonas,7,Alto Orinoco,25,Sierra Parima Primabé
710,Amazonas,1,Autónomo Atabapo,2,Caname
710,Amazonas,1,Autónomo Atabapo,3,Ucata Laja Lisa
710,Amazonas,1,Autónomo Atabapo,1,Yapacana
710,Amazonas,2,Autónomo Atures,4,Fernando Girón Tovar
710,Amazonas,2,Autónomo Atures,5,Luis Alberto Gómez
710,Amazonas,2,Autónomo Atures,6,Parhueña
710,Amazonas,2,Autónomo Atures,7,Platanillal
710,Amazonas,3,Autónomo Autana,11,Guayapo
710,Amazonas,3,Autónomo Autana,10,Munduapo
710,Amazonas,3,Autónomo Autana,8,Samariapo
710,Amazonas,3,Autónomo Autana,9,Sipapo
710,Amazonas,5,Autónomo Manapiare,14,Alto Ventuari
710,Amazonas,5,Autónomo Manapiare,16,Bajo Ventuari
710,Amazonas,5,Autónomo Manapiare,15,Medio Ventuari
710,Amazonas,4,Autónomo Maroa,13,Comunidad
710,Amazonas,4,Autónomo Maroa,12,Victorino
710,Amazonas,6,Autónomo Río Negro,19,Casiquiare
710,Amazonas,6,Autónomo Río Negro,20,Cocuy
710,Amazonas,6,Autónomo Río Negro,17,San Carlos De Río Negro
710,Amazonas,6,Autónomo Río Negro,18,Solano
711,Anzoátegui,8,Anaco,26,Anaco
711,Anzoátegui,8,Anaco,27,San Joaquín
711,Anzoátegui,9,Aragua,28,Aragua De Barcelona
711,Anzoátegui,9,Aragua,29,Cachipo
711,Anzoátegui,28,Diego Bautista Urbaneja,83,El Morro
711,Anzoátegui,28,Diego Bautista Urbaneja,82,Lecherías
711,Anzoátegui,10,Fernando De Peñalver,30,Puerto Píritu
711,Anzoátegui,10,Fernando De Peñalver,31,San Miguel
711,Anzoátegui,10,Fernando De Peñalver,32,Sucre
711,Anzoátegui,12,Francisco De Miranda,36,Atapirire
711,Anzoátegui,12,Francisco De Miranda,37,Boca Del Pao
711,Anzoátegui,12,Francisco De Miranda,38,El Pao
711,Anzoátegui,12,Francisco De Miranda,35,Pariaguán
711,Anzoátegui,11,Francisco Del Carmen Carvajal,34,Santa Bárbara
711,Anzoátegui,11,Francisco Del Carmen Carvajal,33,Valle De Guanape
711,Anzoátegui,13,Guanta,40,Chorrerón
711,Anzoátegui,13,Guanta,39,Guanta
711,Anzoátegui,14,Independencia,42,Mamo
